feature,importance
gave_in_24mo,0.6764703858791669
recency_score,0.6524068704155231
gifts_last_24mo,0.6521615858744065
rfm_score,0.5569202978961372
gifts_per_year,0.5032687546412851
gift_frequency,0.48931480032690233
gave_in_12mo,0.48568267691045364
days_since_last_gift,0.4814377781006631
days_since_last_gift,0.48117551579193196
days_since_last_gift,0.4806859741187832
engagement_score,0.46754333711087326
gifts_last_12mo,0.46549519224391367
time_weighted_giving,0.44358320643041615
frequency_score,0.4335302967232266
total_gifts,0.42996461124319296
gift_count,0.4299361120466132
gift_count,0.42986072092569505
giving_years,0.4296507272147083
years_active,0.4295718519587812
consecutive_years,0.4263875088333886
running_avg_last_3,0.40053390223137786
monetary_score,0.39040139140240293
years_since_first_gift,0.3868015319660525
avg_gift_size,0.3836635891839404
avg_gift_amount,0.3836376723137698
avg_gift_amount,0.38360924235178206
is_multi_year,0.3829437217309888
total_lifetime_giving,0.37784812521672717
total_lifetime_giving,0.37773930377577125
total_amount,0.37767919893102975
gift_frequency_variability,0.36276790883172993
is_loyal_donor,0.3555532125195606
gift_consistency,0.3542677525098774
giving_consistency,0.33863525938449657
giving_velocity,0.31877104217037067
recently_engaged,0.2584212711714369
gave_in_6mo,0.25837486151429
gifts_last_6mo,0.2575965879773998
last_gift_amount,0.2451608176181006
engagement_giving_interaction,0.1999211300555488
recent_giving_amount,0.1989999719049491
giving_momentum,0.1827218977121634
years_inactive,0.16093308589462407
is_recent_donor,0.14661738325391083
other_region,0.05801476859918142
senior_age,0.03935700388683783
young_age,0.02562165922163162
medium_capacity_industry,0.022634289089438653
high_capacity_industry,0.022359271673906722
qualified_rating,0.018384957878562425
wealthy_region,0.015286573958949612
other_industry,0.015013946124529332
mid_career_age,0.010868450562422804
net_giving_interaction,0.0011959596698161157
pagerank,0.00110767799585898
has_network,0.0009278727162083111
has_board_role,0.0005442123319741032
community_id,0.00048775460578753815
community_size,0.00034441531306583784
role_giving_interaction,0.0
has_estate_capacity,0.0
influence_score,0.0
network_size,0.0
degree_centrality,0.0
high_influence_role,0.0
clustering_coefficient,0.0
high_rating,0.0
